Date,Open,High,Low,Close,Adj Close,Volume
2023-09-25,130.770004,132.220001,130.029999,132.169998,132.169998,14650000
2023-09-26,130.914001,131.404999,128.190002,129.449997,129.449997,20378800
2023-09-27,129.440002,131.720001,129.380005,131.460007,131.460007,18764200
2023-09-28,130.690002,134.179993,130.690002,133.130005,133.130005,18201400
2023-09-29,134.080002,134.889999,131.320007,131.850006,131.850006,23224200
2023-10-02,132.154999,135.360001,132.065002,135.169998,135.169998,19210400
2023-10-03,134.929993,135.240005,132.815002,133.300003,133.300003,19628700
2023-10-04,133.660004,136.570007,133.429993,136.270004,136.270004,22848000
2023-10-05,136.130005,136.500000,134.455002,135.990005,135.990005,15922900
2023-10-06,134.940002,139.186005,134.940002,138.729996,138.729996,20819300
2023-10-09,137.990005,139.970001,136.699997,139.500000,139.500000,16599100
2023-10-10,139.509995,140.740005,138.429993,139.199997,139.199997,19554900
2023-10-11,139.850006,142.220001,139.839996,141.699997,141.699997,20146300
2023-10-12,142.160004,142.380005,139.449997,140.289993,140.289993,18173100
2023-10-13,140.649994,141.339996,137.970001,138.580002,138.580002,19438700
2023-10-16,139.729996,140.904999,139.320007,140.490005,140.490005,17345600
2023-10-17,140.029999,141.250000,138.529007,140.990005,140.990005,17424000
2023-10-18,140.750000,141.990005,138.705002,139.279999,139.279999,18304900
2023-10-19,139.800003,141.005005,138.600006,138.979996,138.979996,21831200
2023-10-20,138.589996,139.039993,136.244995,136.740005,136.740005,24953900
2023-10-23,136.229996,139.020004,135.110001,137.899994,137.899994,20780700
2023-10-24,139.160004,140.710007,138.750000,140.119995,140.119995,26317600
